name,image,description
16 & schwanger,https://einfachebuecher.de/media/68/fc/fd/1654876218/16__schwanger_lowres_m.jpg,"Esther, weiß nicht, was sie tun soll. Sie ist schwanger. Und dabei ist sie gerade erst 16 Jahre alt geworden. Ist das nicht viel zu jung, um ein Kind zu kriegen?
Esther braucht jemanden, der ihr zuhört. Und der ihr helfen kann. Sie fährt zu ihrer Oma auf den Hof. Denn ihre Oma weiß immer, was zu tun ist.
Doch was wird Esters Oma sagen, wenn sie hört, dass Esther schwanger ist?
„Joris war auf meinem Geburtstag“, erzählt Esther. „Er ist der coolste Junge auf der Schule. Wir haben zusammen getanzt und uns geküsst.“ Oma nickt und denkt nach. „Das klingt nicht so, als ob Joris die Liebe deines Lebens ist“, sagt sie dann. „Ich bin schon in ihn verliebt“, sagt Esther. „Und er?“, fragt Oma.
Esther spürt, wie ihre Wangen rot werden.Die Reality Reihe ist eine Bücherreihe für und über Jugendliche. Jedes Buch erzählt eine spannende Geschichte über Themen, die Jugendliche bewegen.Lesen Sie hier die ersten Kapitel aus 16 & schwanger! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten. Zubehör: Lesebegleitheft"
20.000 Meilen unter dem Meer,https://einfachebuecher.de/media/5e/7e/56/1654876212/20.000_Meilen_unter_dem_Meer_-_cover_Lowres_m.jpg,"Pierre Arronax ist Meeresforscher und jagt ein gefährliches Ungeheuer, das schon viele Schiffe angegriffen hat. Bei der Jagd geht er über Bord und fällt zusammen mit seinem Diener und einem Harpunier ins Meer. Da taucht plötzlich ein riesiges Untersee-Boot auf.
Nemo, der Kapitän von dem Untersee-Boot rettet Arronax und seine Begleiter. Er nimmt sie mit auf eine spannende Reise unter dem Meer.
Ich bin unter Wasser.
Ich schlucke Wasser und schnappe nach Luft.
„Hilfe!“ rufe ich voller Verzweiflung.
Da packen mich zwei starke Hände. Es sind die Hände von Conseil.
„Bist du auch vom Schiff gefallen?“ frage ich ihn.
„Nein, Herr Professor“, antwortet er.
„Ich arbeite doch für Sie.
Ich kann Sie doch nicht allein lassen.
Also bin ich Ihnen nachgesprungen.“
20.000 Meilen unter dem Meer ist eine sehr bekannte Abenteuer-Geschichte. Jules Verne schrieb das Buch vor über 100 Jahren. Darin beschrieb er Erfindungen, die es damals noch gar nicht gab.
Lesen Sie hier die ersten Kapitel aus 20.000 Meilen unter dem Meer! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
7 Kilo in 3 Tagen,https://einfachebuecher.de/media/85/74/c0/1654876226/7_Kilo_in_3_Tagen_-_cover_v3_m.jpg,"Der deutsche Weihnachts-Klassiker!

Weihnachten kann die schönste Zeit im ganzen Jahr sein, aber auch die schlimmste. Wenn man nämlich wie Bastian jedes Jahr die Feiertage bei den Eltern verbringt, obwohl man schon erwachsen ist. Seine Eltern wohnen in einer Kleinstadt auf dem Land. Dort gibt es das beste Bier auf der ganzen Welt, aber sonst leider gar nichts.

Bastian muss sich seine Geschenke selbst mitbringen. Seine Mutter backt kiloweise Plätzchen. Und es gibt Ente zum Fest. Alle Jahre wieder. Doch Christians Vater macht sich große Sorgen um seinen Sohn. Denn wie soll dieser jemals eine richtige Familie gründen, wo er sich doch gerade von seiner Freundin Fine getrennt hat?

Und dann taucht die Ex-Freundin Fine auch noch bei den Eltern auf – zusammen mit Bastians Bruder Nils, ihrem neuen Freund. Vor Sebastian liegen drei Tage, Alkohol, Essen und viel Zeit mit der Familie. Doch irgendwie will keine Freude aufkommen ...

 

7 Kilo in 3 Tagen war wochenlang auf der Bestsellerliste und darf bei keinem Weihnachtsfest fehlen.

Huber schreibt auch für das Fernsehen und gewann mit dem Team um Jan Böhmermanns Neo Magazin Royale die Goldene Kamera. Er ist ein meisterhafter Beobachter und zeigt den Humor in jeder Situation.

 

Lesen Sie hier die ersten Kapitel aus 7 Kilo in 3 Tagen! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
About a Boy,https://einfachebuecher.de/media/21/7b/a7/1654876210/About_a_boy_-_cover_final_POD_lowres_m.jpg,"Dies ist die Geschichte von Will und Marcus. Marcus und seine Mutter Fiona sind neu in London. Fiona will ein neues Leben anfangen. Aber in der neuen Schule will keiner etwas mit Marcus zu tun haben. Denn Marcus hat komische Haare, trägt komische Klamotten und liest Bücher. Manchmal singt er sogar vor sich hin und merkt das nicht mal.
Will ist 36 Jahre alt und lebt schon lange in London. Er ist reich, arbeitet nicht und hat ein verdammt cooles Leben. Er hat teure Sachen und genießt sein Leben allein. Und er trifft sich oft mit Frauen. Sein neuester Trick dabei: Er erzählt Frauen mit Kindern von seinem Leben als alleinerziehender Vater. Dabei hat Will gar kein Kind – und er will auch keins.
Will guckte sich das Baby an.
Er wusste, dass er etwas sagen musste.
„Sie ist ...“ Nein. Er hatte keine Ahnung,
was er über das Kind sagen sollte.
„Wie geht es euch?“, fragte er.
„Ach“, antwortete Johns Frau. „Ein bisschen müde.“
„Zu viel gefeiert?“, wollte Will wissen.
„Nein. Nur ein Baby zur Welt gebracht.“
In About a Boy erzählt Bestseller-Autor Nick Hornby von der ganz besonderen Freundschaft zwischen Will und Marcus. Das Buch wurde in viele Sprachen übersetzt und erfolgreich verfilmt.
Lesen Sie hier die ersten Kapitel aus About a Boy! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Abseits - Ein Traum endet,https://einfachebuecher.de/media/0a/5d/44/1683793526/Abseits%21%20-%20cover%20-%20Lowres.jpg,"In diesem Buch geht es um Peter.

Peter hat ein tolles Leben. 

Er ist ein großes Fußballtalent. 

Und er hat eine wunderschöne Freundin.


Doch dann bekommt Peter plötzlich eine
schwere Krankheit. 

Und alles wird anders… 

 

Ständig denkt er an die blöde
Krankheit.

Und was sie ihm alles genommen hat.

Peter legt sich aufs Bett.

Ich werde nicht wieder aufstehen,
denkt er.

Ich bleibe hier einfach liegen.







Die Reality Reihe ist eine Buchreihe für und über Jugendliche. Jedes Buch erzählt eine spannende Geschichte über Themen, die Jugendliche bewegen.

Lesen Sie hier die ersten Kapitel aus Abseits! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Achmed singt ein Lied,https://einfachebuecher.de/media/c6/ef/b6/1654876241/Ein_Tag_im_..._Mai_Achmed_singt_ein_Lied_lowres_m.jpg,"Achmed lebt seit zwei Jahren in Deutschland.
Er ist froh, dort sicher zu sein.
Doch manchmal fühlt er sich sehr einsam.
Er vermisst seine Freunde in Libyen.
Er vermisst sein schönes, warmes Land.
Und er vermisst seinen Opa.
Zum Glück hat Achmed seine Musik.
Er spielt Gitarre und singt dazu.
Als er seine Lieder bei YouTube hochlädt,
bekommt er immer mehr Fans.
Und eines Tages erhält er eine Nachricht von Tamar …
Diese Reihe ist speziell für Menschen, die neu in Deutschland sind und am Anfang des Spracherwerbs stehen. Jedes Buch beinhaltet eine Geschichte, die sich in einem Monat des Jahres abspielt. Erzählt wird von jeweils einer Person, die immer eine andere Nationalität hat.
Die Bücher sind mit modernen One-Line-Grafiken illustriert und bieten eine Basis, um im Unterricht nicht nur über die Sprache, sondern auch die Kultur in Deutschland zu sprechen.  
Lesen Sie hier die ersten Kapitel aus Achmed singt ein Lied (Ein Tag im Mai)! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Achmed singt ein Lied (DE/AR),https://einfachebuecher.de/media/65/6b/54/1695208007/Ein%20Tag%20im%20...%20Achmed%20singt%20ein%20Lied%20bilingual%20version%20-%20cover%20Low-res.jpg,"Achmed lebt seit zwei Jahren in Deutschland.
Er ist froh, dort sicher zu sein.
Doch manchmal fühlt er sich sehr einsam.
Er vermisst seine Freunde in Libyen.
Er vermisst sein schönes, warmes Land.
Und er vermisst seinen Opa.
Zum Glück hat Achmed seine Musik.
Er spielt Gitarre und singt dazu.
Als er seine Lieder bei YouTube hochlädt,
bekommt er immer mehr Fans.
Und eines Tages erhält er eine Nachricht von Tamar …




Ein Buch, zwei Sprachen, im Mittelpunkt eine motivierende Geschichte mit
Alltagsvokabular auf A1-Niveau. Eine Seite auf Arabisch, die andere auf
Deutsch. Die Buchreihe BILINGUAL unterstützt Menschen aus anderen Ländern beim
Erwerb der deutschen Sprache. Umgekehrt bietet sie Interessierten die
Möglichkeit der Auseinandersetzung mit einer anderen Sprache. Die zweisprachige
Buchreihe basiert auf einer Buchauswahl der Erfolgsserie Ein Tag im
… in Leichter Sprache.






Die Bücher sind mit modernen One-Line-Grafiken illustriert und bieten eine Basis, um im Unterricht nicht nur über die Sprache, sondern auch die Kultur in Deutschland zu sprechen.  
Lesen Sie hier die ersten Kapitel aus Achmed singt ein Lied (DE/AR)! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
AchtNacht,https://einfachebuecher.de/media/5c/c7/a8/1654876229/AchtNacht_Cover_Lowres_m.jpg,"Stellen Sie sich vor: Zwei Personen werden als Beute für eine tödliche Jagd ausgelost. Jeder kann Jäger sein. Wer eine der beiden Personen tötet, erhält eine riesige Summe Geld. Und: Er wird nicht bestraft.
Und stellen Sie sich vor: Sie sind eine der beiden ausgewählten Personen.
Der falsche Polizist kommt gerade durch die Tür.
Ben hört, wie der Typ mit lauter Stimme ruft:
„AchtNacht! AchtNacht!“
Die ersten Leute drehen sich schon um
und gucken neugierig.
Ben wirft einen kurzen Blick in den Wagen hinein.
Niemand zu sehen.
Ben reißt die Tür auf und setzt sich
hinter das Steuer.
Sebastian Fitzek ist seit Jahren der erfolgreichste deutsche Autor von Krimis und Thrillern. Nach Die Therapie ist dies Fitzeks zweites Buch in Einfacher Sprache.Lesen Sie hier die ersten Kapitel aus AchtNacht! Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.Zubehör: Lesebegleitheft"
Alice im Netz,https://einfachebuecher.de/media/94/41/51/1677763060/Alice%20im%20Netz%20-%20cover%20Lowres.jpg,"„Alice! Ich weiß alles über dich. Ich liebe dich. Du kannst
mir nicht entkommen! Jared.“
Als Alice diese E-Mail bekommt, denkt sie zunächst an
einen Scherz. Wer ist dieser Jared und warum schreibt er
ihr eine solche Nachricht? Dann bekommt Alice immer mehr
solcher E-Mails von Jared. Erschrocken stellt sie fest, dass er
viele persönliche Dinge über sie zu wissen scheint und vor
nichts halt macht. Alice fühlt sich beobachtet. Als sie erkennt,
dass sie dem Fremden viele Dinge selbst erzählt hat, ist es
schon fast zu spät.

 





Alice zeigt Katja die E-Mail
von Jared.

„Und diese Mail stammt wirklich
nicht von dir?“,

fragt sie ihre Freundin.

Katja schüttelt den Kopf.

Feierlich hebt sie die Hand.

„Ich schwöre dir: Ich bin nicht
Jared.

Und ich kenne auch keinen
Jared.

Aber du solltest diese E-Mail
ernst nehmen, Alice.

Vielleicht ist Jared ein
Stalker.“







 



Alice im Netz behandelt ein Thema, das für viele Jugendliche relevant ist: der Umgang mit persönlichen Daten und Informationen im Internet. Es wird daher von vielen Schulen als Lektüre eingesetzt. Lesen Sie hier die ersten Kapitel aus Alice im Netz. Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.





Zubehör: Lesebegleitheft"
Alice im Wunderland,https://einfachebuecher.de/media/c7/fe/e4/1667921425/Alice%20im%20Wunderland%20-%20cover%20Lowres.jpg,"Beim Spielen mit ihrer Schwester entdeckt die 10-jährige
Alice eines Tages ein sprechendes weißes Kaninchen. Verwundert folgt sie dem Tier – und findet sich
auf einmal in einem magischen Land voll mit verrückten und sonderbaren Dingen
wieder. In Wunderland entdeckt Alice fantastische Tiere und trifft den
verrückten Hutmacher und die Rote Königin. Sie erlebt ein Abenteuer nach dem
anderen und kommt aus dem Staunen nicht mehr heraus.

 

Die Tür führt zu einem Gang,

kaum größer als ein Mäuseloch.

Alice kniet sich vor die Tür.

Am Ende des Ganges sieht sie

den schönsten Garten, den man sich denken kann.

Mit bunten Blumenbeeten

und einem Springbrunnen.

Wie gerne würde sie dort spazieren gehen!

 



Alice im Wunderland gehört zu den Klassikern der
Weltliteratur. Das Buch spielt auf eine fantastische Weise mit Logik und ist
daher nicht nur für Kinder eine spannende Lektüre.Lesen Sie hier die ersten Kapitel aus Alice im Wunderland. Ausschließlich zum Gebrauch als Leseprobe. Alle Rechte vorbehalten.





Zubehör: Lesebegleitheft"
